userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A3CJ44QFFGQ9JG,0,3,2,pos,8,7.175
A3CJ44QFFGQ9JG,27,0,1,num,7,19.973
A3CJ44QFFGQ9JG,12,3,0,pos,8,11.598
A3CJ44QFFGQ9JG,21,0,2,num,7,8.63
A3CJ44QFFGQ9JG,29,2,1,num,7,23.349
A3CJ44QFFGQ9JG,15,0,0,pos,8,28.528
A3CJ44QFFGQ9JG,60,-1,2,center position,6,7.294
A3CJ44QFFGQ9JG,34,1,0,num,8,7.18
A3CJ44QFFGQ9JG,1,4,2,pos,8,9.472
A3CJ44QFFGQ9JG,20,5,2,num,8,7.909
A3CJ44QFFGQ9JG,7,4,1,pos,7,7.483
A3CJ44QFFGQ9JG,5,2,2,pos,7,8.279
A3CJ44QFFGQ9JG,10,1,1,pos,8,7.311
A3CJ44QFFGQ9JG,13,4,0,pos,8,10.017
A3CJ44QFFGQ9JG,14,5,0,pos,8,8.944
A3CJ44QFFGQ9JG,32,-1,2,shape,6,6.861
A3CJ44QFFGQ9JG,22,1,2,num,7,13.493
A3CJ44QFFGQ9JG,62,-1,2,center position,6,6.145
A3CJ44QFFGQ9JG,23,2,2,num,6,9.867
A3CJ44QFFGQ9JG,17,2,0,pos,6,17.81
A3CJ44QFFGQ9JG,8,5,1,pos,8,13.952
A3CJ44QFFGQ9JG,35,2,0,num,8,9.515
A3CJ44QFFGQ9JG,3,0,2,pos,8,9.957
A3CJ44QFFGQ9JG,33,0,0,num,8,9.609
A3CJ44QFFGQ9JG,9,0,1,pos,8,12.703
A3CJ44QFFGQ9JG,4,1,2,pos,8,5.664
A3CJ44QFFGQ9JG,3,-1,2,point number,6,8.456
A3CJ44QFFGQ9JG,6,3,1,pos,8,7.709
A3CJ44QFFGQ9JG,28,1,1,num,7,11.558
A3CJ44QFFGQ9JG,18,3,2,num,8,5.536
A3CJ44QFFGQ9JG,11,2,1,pos,7,14.606
A3CJ44QFFGQ9JG,30,3,0,num,7,10.056
A3CJ44QFFGQ9JG,19,4,2,num,8,8.898
A3CJ44QFFGQ9JG,25,4,1,num,8,7.151
A3CJ44QFFGQ9JG,31,4,0,num,7,8.244
A3CJ44QFFGQ9JG,32,5,0,num,7,26.412
A3CJ44QFFGQ9JG,16,1,0,pos,7,8.173
A3CJ44QFFGQ9JG,2,5,2,pos,7,5.383
A3CJ44QFFGQ9JG,26,5,1,num,8,6.334
A3CJ44QFFGQ9JG,24,3,1,num,7,5.994
