userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AXCWMW6ST2SP7,0,4,2,pos,3-4,small&dense-small&sparse,1.99-7.92,1,3-4,34.946
AXCWMW6ST2SP7,27,1,1,num,5,small&sparse,18.06,1,5,49.376
AXCWMW6ST2SP7,12,4,0,pos,6,large&dense,12.25,1,6,14.41
AXCWMW6ST2SP7,21,1,2,num,4,0,15.75,0,1,18.037
AXCWMW6ST2SP7,29,3,1,num,1,0,7.50,0,4,10.019
AXCWMW6ST2SP7,15,1,0,pos,5,0,16.92,0,7,19.462
AXCWMW6ST2SP7,60,-1,2,center position,5,small&dense,5.00,1,5,6.772
AXCWMW6ST2SP7,34,2,0,num,4-5-7,0-large&dense-large&dense,8.38-6.14-0.85,0,5-7-6,16.983
AXCWMW6ST2SP7,1,5,2,pos,2,small&sparse,5.84,1,2,26.273
AXCWMW6ST2SP7,20,0,2,num,3-0,0-0,6.62-1.95,0,4-7,10.018
AXCWMW6ST2SP7,7,5,1,pos,1-3-0,0-large&sparse-0,4.74-2.60-3.99,0,5-3-7,13.179
AXCWMW6ST2SP7,5,3,2,pos,3-7,small&sparse-0,4.38-5.29,0,0-3,11.769
AXCWMW6ST2SP7,10,2,1,pos,7-3,small&dense-large&dense,4.72-3.49,1,7-3,9.615
AXCWMW6ST2SP7,13,5,0,pos,0-3-2,large&sparse-small&dense-0,4.03-5.36-1.53,0,3-5-0,12.198
AXCWMW6ST2SP7,14,0,0,pos,7-1-6,large&dense-0-small&sparse,2.63-1.30-4.89,0,6-5-7,10.779
AXCWMW6ST2SP7,32,-1,2,shape,3,0,6.79,0,4,8.095
AXCWMW6ST2SP7,22,2,2,num,3-5,0-0,2.14-1.31,0,0-7,4.86
AXCWMW6ST2SP7,62,-1,2,center position,4,large&dense,4.43,1,4,6.056
AXCWMW6ST2SP7,23,3,2,num,5-0-6,0-large&dense-large&dense,3.35-1.14-1.87,0,3-6-0,7.536
AXCWMW6ST2SP7,17,3,0,pos,1-4,0-0,4.96-0.96,0,0-5,7.493
AXCWMW6ST2SP7,8,0,1,pos,1-3,large&dense-0,5.36-7.75,0,1-6,15.629
AXCWMW6ST2SP7,35,3,0,num,7-1-6,0-0-small&dense,6.38-2.80-1.05,0,6-5-0,13.669
AXCWMW6ST2SP7,3,1,2,pos,7,small&sparse,6.31,1,7,8.444
AXCWMW6ST2SP7,33,1,0,num,0,0,10.43,0,5,12.57
AXCWMW6ST2SP7,9,1,1,pos,4,0,4.07,0,1,6.756
AXCWMW6ST2SP7,4,2,2,pos,3-2-1,0-small&dense-0,4.07-1.02-2.93,0,0-2-6,9.777
AXCWMW6ST2SP7,3,-1,2,point number,0,0,19.16,0,1,20.725
AXCWMW6ST2SP7,6,4,1,pos,3,0,10.31,0,2,12.449
AXCWMW6ST2SP7,28,2,1,num,1-7-4,0-0-0,5.55-2.00-2.19,0,0-2-5,11.333
AXCWMW6ST2SP7,18,4,2,num,7-2-5,small&dense-small&dense-small&sparse,3.04-1.30-2.49,1,7-2-5,9
AXCWMW6ST2SP7,11,3,1,pos,6-7-1,small&dense-0-small&dense,4.36-2.81-1.00,0,6-1-0,9.615
AXCWMW6ST2SP7,30,4,0,num,1-5,0-small&dense,4.03-2.27,0,5-0,7.78
AXCWMW6ST2SP7,19,5,2,num,3,small&dense,6.73,1,3,9.213
AXCWMW6ST2SP7,25,5,1,num,3-7,0-0,5.64-0.89,0,1-0,8.614
AXCWMW6ST2SP7,25,5,1,num,3-7,0-0,5.64-0.89,0,1-0,8.966
AXCWMW6ST2SP7,31,5,0,num,5-7,large&dense-0,3.59-0.92,0,6-5,6.166
AXCWMW6ST2SP7,32,0,0,num,5,0,32.51,0,7,38.813
AXCWMW6ST2SP7,16,2,0,pos,2-7,0-0,3.28-1.76,0,1-0,6.998
AXCWMW6ST2SP7,2,0,2,pos,5-6-7,small&dense-small&sparse-0,2.89-2.54-1.75,0,5-4-6,9.006
AXCWMW6ST2SP7,26,0,1,num,0-1-5,0-0-0,2.41-0.97-4.61,0,3-4-6,8.919
AXCWMW6ST2SP7,24,4,1,num,2-5,small&dense-0,8.22-1.71,0,2-6,11.482
